temperature,field,age,sampleSize,length,seed,energy1,magnet1,energy2,magnet2,agingPerf,samplingPerf,name
2.0,0,20000,10000,32,3175308226,-1787.4524,-933.6014,3198000.9872,872371.5356,4244829.492449928,2971856.2009203206,Numpy
2.0,0,20000,10000,32,3376003345,-1787.6172,-933.3256,3198471.4576,871858.4112,4334137.497043278,3313046.046213912,Numpy
2.0,0,20000,10000,32,2294580990,-1787.5984,933.6028,3198389.3696,872332.5568,5213069.6669254005,2928308.2608239143,Numpy
2.0,0,20000,10000,32,2359856667,-1786.0352,932.5224,3192934.1984,870419.8568,3926765.1318520857,2953595.6645974377,Numpy
2.0,0,20000,10000,32,3382563695,-1788.1096,-933.9144,3200265.0944,872907.5496,4114280.0477164327,3210384.7251198334,Numpy
2.0,0,20000,10000,32,1821606347,-1786.0472,932.344,3192999.1392,870072.464,4033459.180096216,3018184.6454396606,Numpy
2.05,0,20000,10000,32,222954678,-1747.6848,914.5076,3057932.3904,837494.8952,3784565.6360585936,2990814.540441308,Numpy
2.05,0,20000,10000,32,2361315279,-1748.5492,914.8286,3060982.1328,838072.554,3906170.519510993,3147204.481477443,Numpy
2.05,0,20000,10000,32,2566068933,-1747.7012,-913.0116,3058172.1648,835038.3096,4418928.401188665,2925082.8451744923,Numpy
2.05,0,20000,10000,32,3425296681,-1748.1704,914.5218,3059581.7056,837604.4532,4069935.2832720215,2829355.305898457,Numpy
2.05,0,20000,10000,32,563706147,-1747.1556,913.898,3056203.8096,836509.0576,4422698.362878625,2664765.5354531915,Numpy
2.05,0,20000,10000,32,167716507,-1747.2236,-913.8936,3056297.5504,836368.5336,4582735.594949243,2802959.1485987543,Numpy
2.0999999999999996,0,20000,10000,32,914541412,-1704.1668,891.7488,2908479.0672,796975.952,4012196.887426987,2857691.404238331,Numpy
2.0999999999999996,0,20000,10000,32,3636467328,-1703.1292,-889.6628,2905083.4192,793983.8584,4552294.385499703,3040128.6561099193,Numpy
2.0999999999999996,0,20000,10000,32,1331230562,-1701.5044,-889.1968,2899490.0976,792729.8592,4065115.117932774,3030953.786671027,Numpy
2.0999999999999996,0,20000,10000,32,922961512,-1700.9008,-888.8992,2897343.744,792255.0176,4027298.5369589734,3197835.384753528,Numpy
2.0999999999999996,0,20000,10000,32,224840810,-1700.6204,889.0348,2896666.0144,792555.2688,4073962.567255279,3175353.990714736,Numpy
2.0999999999999996,0,20000,10000,32,749221409,-1700.0484,887.6768,2894684.1424,790180.4704,3847792.6143141305,3015309.2495227773,Numpy
2.1499999999999995,0,20000,10000,32,3056372009,-1647.2136,852.7406,2718735.6128,731561.6476,4089898.165997613,2831516.4326445013,Numpy
2.1499999999999995,0,20000,10000,32,988271824,-1649.092,856.406,2725145.1776,737437.9136,4048789.172804863,3214472.508154868,Numpy
2.1499999999999995,0,20000,10000,32,2846342137,-1647.4672,-858.1402,2719301.968,739409.026,4023831.094867014,2798418.2633138127,Numpy
2.1499999999999995,0,20000,10000,32,4213304959,-1651.0848,858.6348,2731336.2816,740719.588,4122359.1706921165,2632723.5600823355,Numpy
2.1499999999999995,0,20000,10000,32,2713270154,-1647.09,849.822,2718802.1296,730786.0024,4565096.85944454,2732392.235570012,Numpy
2.1499999999999995,0,20000,10000,32,3821690256,-1648.6616,856.5534,2723262.768,737272.838,4422659.65227848,3012629.921794478,Numpy
2.1999999999999993,0,20000,10000,32,1867168083,-1585.1284,643.6096,2519873.624,654165.368,4318630.367371941,3028267.734467618,Numpy
2.1999999999999993,0,20000,10000,32,359828173,-1584.3944,-805.8402,2516874.2176,657325.5916,4016785.236149023,2823193.573560561,Numpy
2.1999999999999993,0,20000,10000,32,2904843606,-1583.67,806.2574,2514770.9648,658055.4252,4658591.311525464,3621141.0281184795,Numpy
2.1999999999999993,0,20000,10000,32,574251283,-1581.6088,-801.0812,2508496.1792,652205.7208,3980426.4362011557,3276156.626346114,Numpy
2.1999999999999993,0,20000,10000,32,3729520010,-1586.7564,48.809,2524298.7952,665746.0996,4431299.778732529,2957233.6662030993,Numpy
2.1999999999999993,0,20000,10000,32,809586820,-1582.1948,803.34,2510283.6784,653698.524,4383233.789795244,3045142.2528297,Numpy
2.249999999999999,0,20000,10000,32,3862474765,-1500.754,393.7426,2260769.7328,532253.338,3948574.637362718,2905466.5575546864,Numpy
2.249999999999999,0,20000,10000,32,3141429868,-1497.1116,-416.2036,2250467.8,525871.6952,3679457.680645828,3228935.524244792,Numpy
2.249999999999999,0,20000,10000,32,4105332150,-1505.3832,316.3794,2275156.368,541822.146,3779601.608476932,3303247.5023374786,Numpy
2.249999999999999,0,20000,10000,32,487463066,-1494.6996,-694.698,2243742.792,514152.0536,3752654.0037147626,2820600.67890635,Numpy
2.249999999999999,0,20000,10000,32,3235985868,-1502.0024,263.1684,2265377.6064,532258.2952,3843690.371782104,2663899.9705697284,Numpy
2.249999999999999,0,20000,10000,32,3641660629,-1506.1064,-51.8834,2277384.304,547817.9796,3648188.990369812,3252954.7930514235,Numpy
2.299999999999999,0,20000,10000,32,1376379619,-1407.1088,-330.246,1990397.8272,380551.0032,3849594.952304545,2794001.480994693,Numpy
2.299999999999999,0,20000,10000,32,2752903419,-1418.2528,290.0622,2021660.112,404909.3964,4031317.5178083284,3148198.059595733,Numpy
2.299999999999999,0,20000,10000,32,3170431197,-1405.7624,-39.452,1986795.8208,383998.8656,4073176.3278655936,3082466.0289202826,Numpy
2.299999999999999,0,20000,10000,32,2401000560,-1406.2408,217.7986,1987915.3568,375509.9188,3987050.1999899186,2924430.370757271,Numpy
2.299999999999999,0,20000,10000,32,2878803811,-1414.334,10.1316,2010446.1264,400969.4016,3409930.1542538707,2906965.2337847296,Numpy
2.299999999999999,0,20000,10000,32,2901231289,-1408.4564,58.2782,1994372.84,385566.7596,4281318.026001305,2727422.435357215,Numpy
2.3499999999999988,0,20000,10000,32,935784734,-1310.93,21.0126,1727668.1584,224219.91,4204338.985267472,3134410.4519482097,Numpy
2.3499999999999988,0,20000,10000,32,244060079,-1313.8888,189.0792,1734923.8912,227223.5464,4375937.45469291,2924378.4004243277,Numpy
2.3499999999999988,0,20000,10000,32,976052594,-1304.266,-20.3528,1710755.0288,208284.5448,3861653.476404713,2833456.158710642,Numpy
2.3499999999999988,0,20000,10000,32,966599784,-1309.266,24.9108,1723267.7744,218564.2224,4019152.174214121,2598697.432170909,Numpy
2.3499999999999988,0,20000,10000,32,738521964,-1322.1524,-14.7482,1757948.4784,256775.2076,3800737.283162747,2646892.9190853774,Numpy
2.3499999999999988,0,20000,10000,32,1254938667,-1320.2084,121.8274,1751995.7936,250370.2708,4017760.691744856,2931708.084838749,Numpy
2.3999999999999986,0,20000,10000,32,1103788660,-1239.0856,37.5018,1542622.416,134124.6356,3604521.8554860232,2937774.718911985,Numpy
2.3999999999999986,0,20000,10000,32,2965335992,-1241.722,-58.566,1549562.0336,144446.4176,4067039.425583833,2794183.2507638847,Numpy
2.3999999999999986,0,20000,10000,32,10004655,-1238.9544,-38.483,1542511.632,131868.7764,4216716.838288512,3108652.162118422,Numpy
2.3999999999999986,0,20000,10000,32,1681204846,-1236.8924,-4.935,1537564.3088,140751.962,4349852.869537247,3002413.550628173,Numpy
2.3999999999999986,0,20000,10000,32,1866808118,-1235.9272,18.5608,1534888.2752,128073.0408,3872855.8313705153,2912063.1565201455,Numpy
2.3999999999999986,0,20000,10000,32,888215095,-1241.0968,-58.8652,1547958.8672,141753.7056,3555209.299538142,3019643.5078049065,Numpy
2.4499999999999984,0,20000,10000,32,1740550718,-1178.688,10.0564,1395704.8096,90595.62,3468311.5412155236,2910578.5501671005,Numpy
2.4499999999999984,0,20000,10000,32,4292400656,-1177.188,9.1994,1391884.2336,81035.1668,3758752.991163144,2984754.4226822495,Numpy
2.4499999999999984,0,20000,10000,32,2979947293,-1179.2036,4.6832,1396644.2224,81992.9296,4760178.070806498,2940248.020537395,Numpy
2.4499999999999984,0,20000,10000,32,2072069449,-1184.7348,-3.764,1409955.9504,89885.4456,4099485.3851517322,3354163.115092404,Numpy
2.4499999999999984,0,20000,10000,32,1765858932,-1183.7912,8.7602,1407925.1136,98398.278,3833319.1387880943,2810372.910861163,Numpy
2.4499999999999984,0,20000,10000,32,1062072491,-1180.2584,-20.2578,1399017.1648,84280.0324,3862940.9967471003,2960793.280802463,Numpy
2.4999999999999982,0,20000,10000,32,803840561,-1133.0328,-11.3736,1289287.4624,58327.0256,3693543.221062524,2610567.680318206,Numpy
2.4999999999999982,0,20000,10000,32,4034731383,-1133.878,37.2546,1291425.7296,61692.9412,3742333.5348138567,2906782.462391735,Numpy
2.4999999999999982,0,20000,10000,32,988690358,-1131.6076,2.3118,1286153.1536,61863.1596,3766575.8407793567,2881595.2525440585,Numpy
2.4999999999999982,0,20000,10000,32,1523562957,-1135.7996,-25.709,1295849.0992,67570.4604,4347327.816419299,3348727.1706876,Numpy
2.4999999999999982,0,20000,10000,32,2638873250,-1135.9608,-12.366,1295908.9952,60977.1064,3932685.9103289507,2789562.01984014,Numpy
2.4999999999999982,0,20000,10000,32,3502936485,-1128.9344,5.8056,1280211.248,56392.0024,4272402.176663733,2985003.14383342,Numpy
2.549999999999998,0,20000,10000,32,132289470,-1090.5228,18.1334,1194528.6768,46197.8796,3237644.0506273387,2556092.3994861827,Numpy
2.549999999999998,0,20000,10000,32,2193432393,-1095.1836,0.9594,1204557.6464,48805.4556,4135515.068602892,2587905.895192086,Numpy
2.549999999999998,0,20000,10000,32,2886895675,-1090.3492,-9.9248,1193997.5632,45785.292,3775289.9510685294,2968196.7193401777,Numpy
2.549999999999998,0,20000,10000,32,3033745795,-1091.8664,12.8222,1197181.1744,45483.5684,4170456.2397346036,2591083.020621317,Numpy
2.549999999999998,0,20000,10000,32,888058766,-1089.1208,-9.931,1191209.4624,44667.3196,4492040.760638504,3338957.8780454034,Numpy
2.549999999999998,0,20000,10000,32,3684382942,-1092.9728,-11.46,1199935.4464,43714.0904,3625238.550953686,2718860.46784127,Numpy
2.599999999999998,0,20000,10000,32,1422354715,-1052.2028,-0.517,1112091.016,38111.5092,4761808.316852584,2777154.927628537,Numpy
2.599999999999998,0,20000,10000,32,3194732991,-1055.2408,0.3628,1118373.1072,38002.4792,3749094.2931017973,3104528.8706035526,Numpy
2.599999999999998,0,20000,10000,32,301183281,-1053.6704,-17.5616,1115267.536,38868.812,4631933.011493321,2796579.003177055,Numpy
2.599999999999998,0,20000,10000,32,4256309630,-1053.666,-0.0588,1115159.2336,36290.1336,4065014.6989968563,2784645.6620012205,Numpy
2.599999999999998,0,20000,10000,32,3734095852,-1052.7684,1.5014,1113263.9792,37113.258,3226494.3372527338,2666394.2284262385,Numpy
2.599999999999998,0,20000,10000,32,1922443290,-1053.6896,-8.0194,1115258.1472,37458.0396,3816707.1705765626,2728678.011827496,Numpy
2.6499999999999977,0,20000,10000,32,1580661100,-1017.4484,-3.1196,1039806.6736,28076.0352,3968113.3985500894,3052038.1772733913,Numpy
2.6499999999999977,0,20000,10000,32,2090111541,-1019.7716,13.0848,1044439.2592,28704.7912,4621982.246072334,2680195.0647716657,Numpy
