temperature,field,age,sampleSize,length,seed,energy1,magnet1,energy2,magnet2,agingPerf,samplingPerf,name
2.0,0,20000,10000,64,3920157893,-7145.3452,-3729.1528,51067741.0352,13909834.3328,12561995.480133288,9601343.474023893,C
2.0,0,20000,10000,64,4084733458,-7146.9636,-3729.3824,51091391.7392,13911705.1688,12754552.276912794,9536739.19861693,C
2.0,0,20000,10000,64,769650021,-7150.7808,3732.0766,51146072.7616,13931804.1588,12872590.863912527,9587883.180743633,C
2.0,0,20000,10000,64,4175646338,-7148.7544,3733.4322,51116562.8192,13941527.6348,12669534.99650147,9573000.89172235,C
2.0,0,20000,10000,64,2044700216,-7151.0492,3733.0952,51149387.2784,13939097.464,12764342.355345206,9582533.142402602,C
2.0,0,20000,10000,64,1979908573,-7147.4464,-3732.5354,51097736.704,13934714.9268,12921968.230820904,9667894.15567409,C
2.05,0,20000,10000,64,767553727,-6993.99,3660.1896,48930123.1312,13401338.424,12674714.249785107,9499810.269981354,C
2.05,0,20000,10000,64,476564141,-6989.4816,-3653.9686,48866987.1808,13356387.574,12824976.543850033,9508980.926709829,C
2.05,0,20000,10000,64,3234824344,-6996.0776,3660.7876,48959149.52,13405820.332,12880183.232872637,9550386.920917913,C
2.05,0,20000,10000,64,22365890,-6993.7456,3660.4284,48926472.1408,13403046.6488,12672282.530026456,9462054.001752311,C
2.05,0,20000,10000,64,682763623,-6985.7756,3655.6024,48814588.3344,13367646.8512,12697851.425876837,9335594.171349669,C
2.05,0,20000,10000,64,3716491408,-6990.8824,-3654.2118,48885990.3712,13358181.1156,12563849.364588352,9493133.11032221,C
2.0999999999999996,0,20000,10000,64,786520448,-6808.7004,3559.0412,46375819.304,12674865.8376,12699823.54946656,9541346.10202498,C
2.0999999999999996,0,20000,10000,64,2097915840,-6817.1724,-3568.8498,46491004.7952,12743373.598,12783937.228157885,9521797.702491326,C
2.0999999999999996,0,20000,10000,64,3543010514,-6799.73,3550.0074,46254689.5248,12612068.654,12861852.162739156,9587915.8212531,C
2.0999999999999996,0,20000,10000,64,4017820234,-6814.6052,3565.9678,46455194.4016,12722644.5548,12603622.434853522,9408546.335116023,C
2.0999999999999996,0,20000,10000,64,2709085340,-6810.1364,-3562.9218,46394085.1216,12701316.9892,12735451.366217438,9624328.551757209,C
2.0999999999999996,0,20000,10000,64,4232189827,-6818.6152,-3567.7976,46510994.2592,12736663.5592,12840936.127815377,9635049.899899594,C
2.1499999999999995,0,20000,10000,64,2757994385,-6615.544,-3452.0982,43785153.7632,11927403.57,12647523.057243213,9573908.339885028,C
2.1499999999999995,0,20000,10000,64,1793654011,-6592.782,-3427.5754,43485252.8144,11760956.4452,12634217.843666764,9495716.246382218,C
2.1499999999999995,0,20000,10000,64,2206784962,-6592.074,3427.8118,43479085.7968,11764869.202,12810520.801595734,9642769.80624845,C
2.1499999999999995,0,20000,10000,64,1032893386,-6584.0936,-3405.6012,43372906.5984,11617044.1032,12366352.887147892,9300702.156388003,C
2.1499999999999995,0,20000,10000,64,3238845832,-6597.9944,3428.8624,43554182.1344,11770976.0944,12388039.3103314,9457377.556029884,C
2.1499999999999995,0,20000,10000,64,3711999456,-6596.9872,3426.5208,43542073.0016,11755731.9272,12739983.618836958,9602921.313633742,C
2.1999999999999993,0,20000,10000,64,1514970844,-6328.578,-3208.6914,40078459.864,10327697.9372,12713798.005220985,9539710.030587275,C
2.1999999999999993,0,20000,10000,64,3165881413,-6330.6796,-3209.3582,40106604.2064,10343866.726,12667701.167096436,9497779.882023185,C
2.1999999999999993,0,20000,10000,64,2481779031,-6364.5984,3262.7738,40534609.6384,10676338.3836,12748464.632388026,9466399.664408617,C
2.1999999999999993,0,20000,10000,64,938721175,-6343.6588,-3241.1486,40268487.0864,10535283.402,12464206.2590816,9498733.52056707,C
2.1999999999999993,0,20000,10000,64,44534837,-6338.3508,3223.4028,40202093.704,10420859.7536,12594124.337355616,9491953.510289814,C
2.1999999999999993,0,20000,10000,64,4160145043,-6350.8836,-3245.7838,40357705.88,10563567.3036,12630755.921943393,9567577.396331614,C
2.249999999999999,0,20000,10000,64,1957051987,-6041.6208,-2943.3536,36535986.528,8736046.2024,12328313.072072526,9478063.761373417,C
2.249999999999999,0,20000,10000,64,1641995989,-6002.7736,-2834.5844,36069352.2944,8144600.2856,12465598.122164518,9332359.231859505,C
2.249999999999999,0,20000,10000,64,3065373686,-5982.2844,2758.2304,35833550.5456,7904547.9632,12475118.871433191,9414432.206502704,C
2.249999999999999,0,20000,10000,64,2907025671,-6026.8636,-2888.4788,36358300.7024,8436833.2736,12325070.678864036,9526921.624114053,C
2.249999999999999,0,20000,10000,64,2229126720,-6010.3864,2872.0768,36160367.4048,8356725.5136,12682943.764668917,9499811.845891086,C
2.249999999999999,0,20000,10000,64,4015426139,-6003.5616,2813.2544,36084549.8976,8064485.8928,12710136.243636375,9560836.591815172,C
2.299999999999999,0,20000,10000,64,147248324,-5524.2916,-474.679,30562081.8544,3633016.6644,12555109.298978161,9513086.925524643,C
2.299999999999999,0,20000,10000,64,2154490799,-5522.5996,-1328.414,30549797.8192,3131282.1552,12492354.325714223,9499487.744793378,C
2.299999999999999,0,20000,10000,64,1155111276,-5588.7536,-1312.3962,31276501.0816,4530298.2228,12625254.378398804,9424579.602673594,C
2.299999999999999,0,20000,10000,64,3412802164,-5561.3444,-1312.9566,30979330.0144,4129433.0924,12272768.415454233,9335044.291536197,C
2.299999999999999,0,20000,10000,64,186861733,-5547.6256,1846.8596,30817104.4192,3858238.732,12587518.306442756,9392144.414012376,C
2.299999999999999,0,20000,10000,64,2244333776,-5534.9072,-888.8422,30674692.1824,3279823.4156,12616505.602307238,9397295.223419113,C
2.3499999999999988,0,20000,10000,64,3446426228,-5195.3164,825.298,27021340.0144,1253202.6048,12450351.622928012,9436276.599256461,C
2.3499999999999988,0,20000,10000,64,3134414968,-5203.2232,-425.8384,27108203.2064,1527977.4288,12370179.937805891,9320859.12065217,C
2.3499999999999988,0,20000,10000,64,3819374530,-5185.1536,499.6574,26919244.0736,1476471.6412,12424942.925828746,9412063.258312372,C
2.3499999999999988,0,20000,10000,64,751707016,-5171.2124,487.873,26774169.7424,1081888.314,12289672.200184977,9364308.08982631,C
2.3499999999999988,0,20000,10000,64,3782025410,-5201.5108,866.7192,27087187.272,1397740.2,12448154.94839302,9309838.321883988,C
2.3499999999999988,0,20000,10000,64,3139919813,-5194.5536,-648.072,27014219.1616,1233630.6368,12528678.665751196,9263537.341560222,C
2.3999999999999986,0,20000,10000,64,2583509785,-4940.3808,-138.9156,24430989.6352,586665.2304,12360765.26814359,9462177.512572868,C
2.3999999999999986,0,20000,10000,64,3193622627,-4948.4728,-43.1794,24514936.1024,871895.858,12455633.127625318,9434236.492080344,C
