temperature,field,age,sampleSize,length,seed,energy1,magnet1,energy2,magnet2,agingPerf,samplingPerf,name
2.0,0,20000,10000,64,2654505869,-7150.344,3734.3888,51139859.8816,13948833.9832,12843986.085924678,9594281.219794258,C
2.0,0,20000,10000,64,3219367441,-7147.552,3727.81,51099799.5808,13900234.4272,12819587.69116199,9590227.976750163,C
2.0,0,20000,10000,64,4094875862,-7151.396,-3733.3038,51153995.408,13940470.5956,12842965.431901077,9634908.866415739,C
2.0,0,20000,10000,64,3483477580,-7150.5848,3733.7902,51142805.9584,13944283.6028,12609926.982975662,9642826.635980017,C
2.0,0,20000,10000,64,4144693266,-7148.124,-3732.7936,51107605.6416,13936664.892,12829317.905973528,9535234.89491847,C
2.0,0,20000,10000,64,1898231659,-7148.2588,3732.4494,51109735.3584,13934333.274,12794776.759980375,9446563.104126882,C
2.05,0,20000,10000,64,128215775,-6990.2884,3657.5152,48878091.3936,13381991.82,12598711.756513594,9412301.491789924,C
2.05,0,20000,10000,64,2299661416,-6996.7036,3662.275,48967794.2224,13416772.0724,12602245.80185407,9536126.727763101,C
2.05,0,20000,10000,64,781404391,-6990.9004,-3658.2588,48886227.2752,13387239.864,12750716.534866203,9460048.053885901,C
2.05,0,20000,10000,64,974000846,-6990.3332,3653.8376,48879566.5072,13355677.5184,12670855.346039047,9548792.329248868,C
2.05,0,20000,10000,64,3853421292,-6993.1632,-3660.178,48918036.4224,13401252.2192,12809531.246621441,9494325.596283281,C
2.05,0,20000,10000,64,1623490708,-6995.692,-3662.193,48953814.2304,13415818.7988,12821976.754877761,9486796.925392952,C
2.0999999999999996,0,20000,10000,64,1660648041,-6805.1052,-3552.9208,46327509.9088,12632705.3,12346371.97084883,9553233.454388218,C
2.0999999999999996,0,20000,10000,64,1265538694,-6815.0328,3561.6062,46461763.0464,12692961.4332,12725377.50993872,9498061.857621642,C
2.0999999999999996,0,20000,10000,64,663667873,-6807.3164,-3556.4148,46356524.1136,12656277.3056,12604325.197587876,9290646.785901146,C
2.0999999999999996,0,20000,10000,64,1761771766,-6799.6524,-3557.646,46253091.6144,12664065.2688,12700386.85761649,9630514.041850451,C
2.0999999999999996,0,20000,10000,64,2655587199,-6801.7448,-3548.0764,46283139.408,12599593.3152,12763550.516927732,9529759.999653865,C
2.0999999999999996,0,20000,10000,64,714472923,-6798.2728,-3545.9718,46234539.8368,12583612.2068,12764219.068655156,9345119.79713429,C
2.1499999999999995,0,20000,10000,64,2209002348,-6598.55,-3434.9782,43562007.7104,11810765.9092,12444318.266370125,9545469.497881146,C
2.1499999999999995,0,20000,10000,64,102664202,-6597.6812,-3419.9512,43550726.1232,11715553.6384,12663426.473617967,9554227.485330423,C
2.1499999999999995,0,20000,10000,64,3184270064,-6604.762,3438.571,43644325.4928,11836472.6668,12640397.726741804,9500316.689219492,C
2.1499999999999995,0,20000,10000,64,2527824674,-6601.0484,3433.0782,43594253.752,11798792.174,12587558.8866681,9580691.63863029,C
2.1499999999999995,0,20000,10000,64,1528575095,-6593.6632,-3410.7416,43497969.8656,11659556.6784,12728551.04939849,9538773.039046803,C
2.1499999999999995,0,20000,10000,64,3168749,-6587.8716,-3402.749,43424295.0224,11602033.8108,12817936.820221696,9525287.854672054,C
2.1999999999999993,0,20000,10000,64,875482763,-6336.1652,3217.7226,40172005.8032,10393215.818,12601745.702757323,9564512.506780947,C
2.1999999999999993,0,20000,10000,64,1115441592,-6336.2776,-3225.5768,40177562.4096,10440463.4256,12651652.85308727,9568590.935723977,C
2.1999999999999993,0,20000,10000,64,3028379336,-6337.342,3233.0968,40189927.8352,10483890.204,12637382.326537734,9465591.230674524,C
2.1999999999999993,0,20000,10000,64,2510857682,-6338.8016,3224.3834,40207041.4048,10428885.4716,12444284.914289879,9516036.71224078,C
2.1999999999999993,0,20000,10000,64,2807247762,-6348.216,-3240.204,40328121.1488,10532158.8056,12732722.615525695,9274146.330192894,C
2.1999999999999993,0,20000,10000,64,3609470562,-6349.1928,-3243.1814,40339638.9984,10543692.6356,12407570.252804363,9394767.405005492,C
2.249999999999999,0,20000,10000,64,3831447045,-5966.2908,-2720.0974,35635155.3872,7578034.6052,12280563.975255975,9418117.198780635,C
2.249999999999999,0,20000,10000,64,64756620,-6000.046,2859.3202,36036566.4976,8276051.3764,12440726.283254756,9529007.30339076,C
2.249999999999999,0,20000,10000,64,3400421720,-6011.936,-2868.3932,36177867.808,8312200.16,12711956.984422628,9462984.320795188,C
2.249999999999999,0,20000,10000,64,497476860,-6028.5636,-2897.932,36379761.832,8494140.1248,12409891.57081674,9531188.54659752,C
2.249999999999999,0,20000,10000,64,3339310462,-6027.6096,2914.5312,36369430.496,8576759.3248,12695024.313595204,9497491.622601306,C
2.249999999999999,0,20000,10000,64,2436735081,-5972.4076,-2650.0902,35711879.0736,7310218.0156,12685482.61281877,9476609.797013665,C
2.299999999999999,0,20000,10000,64,3184830183,-5560.4352,-33.946,30972424.5632,3824343.8768,12518224.928420419,9481945.275071505,C
2.299999999999999,0,20000,10000,64,2704095969,-5511.7188,-445.4634,30426773.3744,3096991.0772,12525246.937342376,9487717.445449628,C
2.299999999999999,0,20000,10000,64,2738925614,-5586.3208,1603.2822,31255430.0032,4564811.4244,12538472.66519162,9467306.317579405,C
2.299999999999999,0,20000,10000,64,3202770105,-5574.0352,1759.5192,31115427.4784,4088087.9544,12509728.560852539,9433478.607447619,C
2.299999999999999,0,20000,10000,64,1653002514,-5557.0668,253.115,30923414.4304,3973980.5404,12449857.190789355,9425194.892076034,C
2.299999999999999,0,20000,10000,64,3317843909,-5532.5852,-1740.339,30655332.6576,3572261.886,12531342.588216072,9391952.382548176,C
2.3499999999999988,0,20000,10000,64,1026101698,-5225.7064,1331.0382,27340603.488,2091778.554,12519731.067133015,9468399.95773909,C
2.3499999999999988,0,20000,10000,64,197556015,-5182.198,456.356,26884736.0144,1243320.9184,12448140.516955359,9455466.222428823,C
2.3499999999999988,0,20000,10000,64,2641824318,-5201.5276,87.625,27090133.7264,1503134.6628,12531616.812626831,9434019.42313552,C
2.3499999999999988,0,20000,10000,64,3568525163,-5199.5152,-821.241,27070904.08,1636222.3172,12425371.575321289,9362508.168550845,C
2.3499999999999988,0,20000,10000,64,3390232933,-5216.5528,-301.3724,27247487.1904,2199224.6472,12325900.130463256,9356313.505984955,C
2.3499999999999988,0,20000,10000,64,1002904417,-5193.804,385.903,27008756.8864,1127544.8332,12429716.352870613,9343608.253786515,C
2.3999999999999986,0,20000,10000,64,216761094,-4932.2004,76.802,24352256.7216,686776.96,12128447.294894429,9453466.707833765,C
2.3999999999999986,0,20000,10000,64,3583869315,-4942.586,-18.0738,24455261.5408,650762.4188,12431641.143980196,9401849.137808844,C
2.3999999999999986,0,20000,10000,64,2910761920,-4939.3792,-111.6258,24422686.6048,595573.4212,12447428.006332152,9402435.733205661,C
2.3999999999999986,0,20000,10000,64,1143049356,-4938.1612,-16.6002,24411606.4688,623003.4132,12396078.641668055,9365598.110293569,C
2.3999999999999986,0,20000,10000,64,637163958,-4946.2788,-191.9098,24492186.4112,687640.6292,11907730.868261788,9166656.137915365,C
2.3999999999999986,0,20000,10000,64,3591388524,-4930.1872,-4.747,24333094.7744,594207.3028,12358500.51833442,9336362.792734971,C
