temperature,field,age,sampleSize,length,seed,energy1,magnet1,energy2,magnet2,agingPerf,samplingPerf,name
2.0,0,20000,10000,16,3551929767,-446.812,-233.3096,200386.512,54621.4864,1542774.1783829792,957106.099149905,Numpy
2.0,0,20000,10000,16,2025813657,-447.5332,-233.8848,200988.5776,54864.02,1707977.8946608244,1025757.6014351831,Numpy
2.0,0,20000,10000,16,2514652820,-446.1408,-233.127,199786.9312,54534.4052,1265908.5077480674,980627.9628546715,Numpy
2.0,0,20000,10000,16,862695306,-446.7916,-11.4216,200369.0736,54566.9336,1402236.4702576033,957229.052414919,Numpy
2.0,0,20000,10000,16,2645849648,-447.4788,233.8472,200981.6048,54855.9344,1483645.0621429207,969537.048516229,Numpy
2.0,0,20000,10000,16,1511012603,-446.8416,-233.3844,200398.6848,54649.3472,1700145.9943701187,1001814.1712230315,Numpy
2.05,0,20000,10000,16,3617136490,-435.738,88.1936,190777.752,52154.0952,2038952.6454270906,1283872.4590490889,Numpy
2.05,0,20000,10000,16,1542490445,-437.6544,-229.2342,192406.4256,52802.8308,1511538.3502195214,1019119.079573044,Numpy
2.05,0,20000,10000,16,2403768467,-436.71,228.3226,191604.3472,52440.0852,1548096.571395946,1023095.9161034952,Numpy
2.05,0,20000,10000,16,3586567534,-437.1072,-228.5746,191932.4864,52586.8484,1239459.2626607039,1023112.1961714779,Numpy
2.05,0,20000,10000,16,3289475403,-437.2788,228.9848,192086.8208,52695.816,1378310.7295070752,1054041.576133745,Numpy
2.05,0,20000,10000,16,612952075,-437.906,229.0138,192623.4256,52729.8684,1691617.710864215,960553.8987334548,Numpy
2.0999999999999996,0,20000,10000,16,4002486868,-425.7984,222.9094,182350.3968,50079.8332,1602352.4488907235,1026873.5686421075,Numpy
2.0999999999999996,0,20000,10000,16,978455059,-424.3556,221.514,181190.1488,49569.096,1308149.8496301516,1182402.614156542,Numpy
2.0999999999999996,0,20000,10000,16,1354806830,-424.9276,128.6994,181662.9552,49827.2276,1431636.485961989,998168.8623605063,Numpy
2.0999999999999996,0,20000,10000,16,2126476671,-424.7772,24.6422,181557.9664,49774.8148,1448528.0266506902,1031028.0832583482,Numpy
2.0999999999999996,0,20000,10000,16,193108156,-425.4784,222.1926,182117.744,49866.3964,1652155.2716194722,1066368.2077538446,Numpy
2.0999999999999996,0,20000,10000,16,3750299637,-425.2744,-221.4412,181994.3488,49704.328,1448960.0186547854,1043907.774919034,Numpy
2.1499999999999995,0,20000,10000,16,4225368156,-412.4012,-127.3024,171435.6496,46651.5928,1457892.5834216222,970619.6935286225,Numpy
2.1499999999999995,0,20000,10000,16,50050216,-414.1136,216.8946,172633.4528,47532.7324,1558191.9640362929,941290.7339818054,Numpy
2.1499999999999995,0,20000,10000,16,3596284890,-411.0964,-105.6146,170354.3216,46444.2716,1584949.7838326069,1121286.5021348726,Numpy
2.1499999999999995,0,20000,10000,16,915805716,-413.4732,-72.7904,172225.8832,47197.6672,1724901.427257361,1056774.15252957,Numpy
2.1499999999999995,0,20000,10000,16,4246143994,-413.618,-215.9706,172353.3392,47304.05,1880388.3918165574,1200286.1973581766,Numpy
2.1499999999999995,0,20000,10000,16,3127060410,-411.7496,-6.1684,170863.4784,46664.1312,1296449.7159017846,902589.7727457087,Numpy
2.1999999999999993,0,20000,10000,16,3929131272,-396.244,-59.361,158644.2688,42585.6484,1322089.1272778583,978837.1954585254,Numpy
2.1999999999999993,0,20000,10000,16,2013582368,-394.9628,-56.4416,157640.7152,41779.7256,1565568.4358004157,1020458.870228671,Numpy
2.1999999999999993,0,20000,10000,16,57328281,-397.0764,-194.1406,159235.4128,42716.4324,1645843.917780599,1086994.1303388523,Numpy
2.1999999999999993,0,20000,10000,16,3914986568,-396.7064,123.2372,159002.9824,42707.3944,1343225.4995992498,951140.2289450718,Numpy
2.1999999999999993,0,20000,10000,16,1215463304,-395.6728,33.205,158210.3872,42407.6268,1421441.6645827522,941011.4940554351,Numpy
2.1999999999999993,0,20000,10000,16,3105256879,-397.7948,65.4154,159809.7296,43163.8308,1564848.1265983798,845438.0437812293,Numpy
2.249999999999999,0,20000,10000,16,1883557743,-379.4504,6.6072,145848.4192,38077.9144,1540095.7556000387,909877.0599498091,Numpy
2.249999999999999,0,20000,10000,16,3601759296,-379.5152,-0.6954,145934.4768,38111.1556,1525097.2540086394,999398.7496879619,Numpy
2.249999999999999,0,20000,10000,16,1215341785,-377.8204,-36.101,144666.9424,37037.0356,1552927.1601833242,1042187.8161468662,Numpy
2.249999999999999,0,20000,10000,16,2127089952,-380.4136,40.1512,146572.864,38419.9112,1218799.155580003,1173662.0085638901,Numpy
2.249999999999999,0,20000,10000,16,3575336999,-379.0984,35.1394,145632.0288,37624.5852,1364783.3813304347,1116301.1398470092,Numpy
2.249999999999999,0,20000,10000,16,850710739,-377.54,105.9172,144484.4,36996.0664,1775133.4340145434,935399.1028811819,Numpy
2.299999999999999,0,20000,10000,16,3192121163,-360.9548,-25.8774,132323.1472,32302.0788,2185519.5561473663,961471.645302507,Numpy
2.299999999999999,0,20000,10000,16,1865203573,-359.666,-52.7786,131450.6736,32149.9308,1611818.618099131,926995.0739171428,Numpy
2.299999999999999,0,20000,10000,16,1096130186,-360.8864,-7.9166,132342.8032,32591.8652,1272779.7591212627,913867.8612333323,Numpy
